method,display_name,is_system,episodes,mean_reward,std_reward,avg_delay,total_energy,handover_success_rate,service_continuity_rate,task_completion_rate,task_resolution_rate,pending_task_rate,deadline_violation_rate,avg_load_balance_score,energy_per_resolved_task,selection_metric,selection_score,primary_metric_win_count,primary_metric_wins_text,selected_offload,method_variant,source
han_mappo_delay_focus_fast,HAN+MAPPO,True,1,19.07419222702359,0.0,2.1199477955029273,68.15017576324452,1.0,1.0,0.5355555555555556,0.9977827050997783,0.0022172949002217295,0.46444444444444444,0.5189999999999997,0.15144483502943226,latency_priority_score,0.5458402201744909,1,Service Continuity,,,checkpoint_eval
max_rvt,Max-RVT,False,1,18.81254187453942,0.0,2.1097081978386982,56.077819939572244,0.8260869565217391,1.0,0.5336322869955157,1.0,0.0,0.4663677130044843,0.5179400015115057,0.12573502228603642,latency_priority_score,0.5468593800615699,2,Average Delay | Service Continuity,1.0,max_rvt(best_offload=1.00),heuristic_eval
stay,Stay,False,1,18.675546101320258,0.0,2.1476996738352385,44.72796331623084,1.0,1.0,0.5311111111111111,0.9977827050997783,0.0022172949002217295,0.4688888888888889,0.5163333333333331,0.09939547403606853,latency_priority_score,0.5455577485471319,1,Service Continuity,1.0,stay(best_offload=1.00),heuristic_eval
random,Random,False,1,12.359682028601506,0.0,2.120842700058492,38.22042984820107,0.7926267281105991,1.0,0.5324324324324324,0.9919571045576407,0.00804289544235925,0.46756756756756757,0.47015406994583797,0.10329845904919209,latency_priority_score,0.5398984519087331,1,Service Continuity,1.0,random(best_offload=1.00),heuristic_eval
max_elev,Max-Elev,False,1,18.502028959927387,0.0,2.1558064129999956,38.15008244819044,0.8333333333333334,1.0,0.5256124721603563,0.9977777777777778,0.0022222222222222222,0.47438752783964366,0.3199619824619823,0.08496677605387626,latency_priority_score,0.515514826631017,1,Service Continuity,1.0,max_elev(best_offload=1.00),heuristic_eval
min_distance,Min-Distance,False,1,18.502028959927387,0.0,2.1558064129999956,38.15008244819044,0.8333333333333334,1.0,0.5256124721603563,0.9977777777777778,0.0022222222222222222,0.47438752783964366,0.3199619824619823,0.08496677605387626,latency_priority_score,0.515514826631017,1,Service Continuity,1.0,min_distance(best_offload=1.00),heuristic_eval
threshold_rvt_adaptive,Threshold-RVT Adaptive,False,1,24.66411786881035,0.0,3.6585180888428637,206.24895725851647,1.0,1.0,0.623059866962306,1.0,0.0,0.376940133037694,0.555,0.457314761105358,latency_priority_score,0.5076159000823802,3,Service Continuity | Task Completion | Load Balance,,,heuristic_eval
joint_greedy,Joint Greedy,False,1,24.51179504387692,0.0,3.663525374869953,206.0733023364349,1.0,1.0,0.6222222222222222,1.0,0.0,0.37777777777777777,0.5333333333333333,0.4579406718587442,latency_priority_score,0.5041218061532344,1,Service Continuity,,,heuristic_eval
