method,display_name,episodes,is_system,mean_reward,std_reward,avg_delay,avg_success_delay,p95_success_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,total_user_seconds,blocked_user_seconds,blocked_time_ratio,handover_interruption_seconds,service_interruption_seconds,total_handovers,handover_attempts,handover_committed,handover_aborted,handover_radio_failures,migration_rejections,reconnection_attempts,reconnections,failed_handovers,service_continuity_rate,successful_task_throughput,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,handover_frequency,handovers_per_user_minute,load_balance_variance,load_balance_coefficient,load_variance_sample_count,mec_load_fairness,jain_mec_load_fairness,active_mec_load_fairness,reachable_jain_mec_load_fairness,active_load_balance_score,avg_load_balance_score,resolved_tasks,pending_tasks,total_tasks,completed_tasks,deadline_violations,failed_tasks,deadline_violation_rate,energy_per_successful_task,reward_task_success,reward_load_balance,penalty_delay,penalty_energy,penalty_task_failure,penalty_service_interruption,penalty_failed_handover,handover_action_rate,local_compute_rate,mean_offload_ratio,source,training_history,selection_metric,selection_score,energy_per_resolved_task,primary_metric_win_count,primary_metric_wins_text,num_users,seed,trained_timesteps,checkpoint,training_log,best_training_eval_reward,selected_offload,method_variant
han_mappo_latency_priority_multiuser_u20,HAN+MAPPO,5,True,94.4983577659179,7.1465222036337765,2.0144237966869736,1.720971860341478,3.81548816753721,3880.5668909752485,1.0,0.0,0.3922391853609828,10240.0,215.4,0.02103515625,30.24000120162964,245.64000077247618,30.8,30.8,30.8,0.0,0.0,0.0,19.6,19.6,0.0,0.9760117186745628,19.276171875,0.97896484375,0.9265145079647699,0.9252657118138305,0.0733813148346713,0.9986470266485018,0.9986470266485018,0.0013529733514982979,0.0030078124999999996,0.18046875,0.07436605099231568,0.541468345624879,2534,0.541468345624879,0.7254264584858724,0.6324407813568624,0.7254264584858724,0.541468345624879,0.541468345624879,3551.0,4.8,3555.8,3289.8,257.6,3.6,0.07237251910430748,1.1795753209846338,164.49000000000314,18.395029671015244,-41.86894979908349,-29.77312431504597,-13.06000000000006,-3.6846001485362647,0.0,0.004921875,0.65859375,0.25450098514556885,checkpoint_eval,/home/pjpjq/LEO_switch/results/full_train_latency_priority_multiuser_u20_multiuser_single_seed_150k_20260804/training_history.json,reward,94.4983577659179,1.092809600387285,0,,20,42,,,,,,
han_pdqn,HAN+PDQN,5,False,108.96153841475025,4.258117220653691,1.6578600398403947,1.5413930127897264,3.5582008086929897,3240.929067442398,1.0,0.0,0.060607195142940454,10240.0,202.6,0.019785156249999998,64.20000250339508,266.8000008583069,101.0,101.0,101.0,0.0,0.0,0.0,6.0,6.0,0.0,0.9739453124161809,20.056640625,0.98021484375,0.9631841429465091,0.9626390518441335,0.03679628513007531,0.9994353369742086,0.9994353369742086,0.0005646630257913158,0.00986328125,0.591796875,0.0730228528980091,0.5478781006180684,2338,0.5478781006180684,0.6198394025414291,0.36772300383660644,0.6198394025414291,0.5478781006180684,0.5478781006180684,3553.8,2.0,3555.8,3423.0,130.0,0.8,0.03656999954103062,0.9468095435122401,171.1500000000047,14.520107208723596,-39.390374300261854,-26.7761971472929,-6.539999999999987,-4.002000157348812,0.0,0.01044921875,0.49888671875,0.4880737066268921,han_pdqn_train_eval,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u20/learned_baselines/han_pdqn/training_history.json,reward,108.96153841475025,0.911961581248916,6,Successful-Task Delay | P95 Successful-Task Delay | Task Success | Deadline Violation | Successful Task Throughput | Energy per Successful Task,20,42,150000,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u20/learned_baselines/han_pdqn/best_model.pt,,,,
pdqn,PDQN,5,False,98.8993690910509,5.727381511858641,1.8168839617985533,1.6343071727325806,3.8746211599234917,3272.141327712762,0.8521975293257402,0.14780247067425994,0.11367731539509092,10240.0,220.2,0.021503906250000003,67.80000271797181,288.0000006914139,118.8,118.8,100.6,18.2,18.0,0.2,12.4,12.4,18.2,0.9718749999324791,19.641796875,0.9784960937500001,0.9431264717431687,0.9427007827999766,0.056846137975049296,0.9995469207750258,0.9995469207750258,0.00045307922497422475,0.00982421875,0.589453125,0.0906095465562392,0.4679565063730335,2217,0.4679565063730335,0.6078939201183458,0.31488216554200693,0.6078939201183458,0.4679565063730335,0.4679565063730335,3554.2,1.6,3555.8,3352.2,201.4,0.6,0.05667622609229171,0.9761175728514893,167.61000000000388,13.488103554607596,-40.587435963372954,-27.009300188503897,-10.100000000000014,-4.320000170730054,-0.1820000000000001,0.0128125,0.3686328125,0.6029826998710632,pdqn_train_eval,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u20/learned_baselines/pdqn/training_history.json,reward,98.8993690910509,0.9206407427023697,0,,20,42,150000,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u20/learned_baselines/pdqn/best_model.pt,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u20/learned_baselines/pdqn/pdqn_training.log,,,
attn_mappo,Attn+MAPPO,5,False,90.24515797499626,8.129200820634827,2.038722962505987,1.6847321470654557,3.824573584918176,3896.033420409036,1.0,0.0,0.4715041771576107,10240.0,219.0,0.02138671875,31.440001225471498,250.44000082015992,29.2,29.2,29.2,0.0,0.0,0.0,23.2,23.2,0.0,0.9755429686699063,19.051171875,0.97861328125,0.915505695156471,0.9145867542669901,0.08440070450717596,0.9989874587741661,0.9989874587741661,0.0010125412258339265,0.0028515625,0.17109375,0.09100425245787777,0.46625737478673235,2476,0.46625737478673235,0.6693926766095929,0.49364666558133247,0.6693926766095929,0.46625737478673235,0.46625737478673235,3552.2,3.6,3555.8,3251.4,296.2,4.6,0.0831103850364248,1.198263338995213,162.57000000000272,16.6076875018386,-40.71214416864344,-29.423787305652564,-15.040000000000083,-3.7566001515835525,0.0,0.0051171875,0.75037109375,0.18909665942192078,attn_mappo_train_eval,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u20/learned_baselines/attn_mappo/training_history.json,reward,90.24515797499626,1.0967944992987546,0,,20,42,150000,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u20/learned_baselines/attn_mappo/best_model.pt,,,,
mappo_no_han,MAPPO,5,False,85.85761235901154,9.577997720784243,2.1934830131830347,1.801739744159553,4.010822766821513,3664.47785418005,1.0,0.0,0.34533043894948956,10240.0,217.8,0.021269531249999998,39.48000156879425,257.28000073432924,45.4,45.4,45.4,0.0,0.0,0.0,20.4,20.4,0.0,0.9748749999282882,18.706640625,0.97873046875,0.8993778679055275,0.8980700604705524,0.10046857262099448,0.9985386330915468,0.9985386330915468,0.0014613669084531894,0.00443359375,0.266015625,0.08730768246005086,0.4823261550208471,2521,0.4823261550208471,0.6935515984227886,0.5541251640831213,0.6935515984227886,0.4823261550208471,0.4823261550208471,3550.6,5.2,3555.8,3192.6,354.2,3.8,0.09940329627732972,1.1478036253148063,159.63000000000204,17.502290288797717,-42.207780704559525,-27.30769897886109,-17.90000000000012,-3.8592001570388677,0.0,0.00642578125,0.7640625,0.19844917953014374,mappo_no_han_train_eval,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u20/learned_baselines/mappo_no_han/training_history.json,reward,85.85761235901154,1.0320728480200672,0,,20,42,150000,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u20/learned_baselines/mappo_no_han/best_model.pt,,,,
joint_greedy,Joint Greedy,5,False,58.158676407346505,8.096840333709716,2.715042706018399,2.203693595468419,4.634397287516334,3964.3720262433867,1.0,0.0,0.10356030569521642,10240.0,215.2,0.021015625,79.56000316143036,294.76000089645385,119.6,119.6,119.6,0.0,0.0,0.0,13.0,13.0,0.0,0.9712148436624556,16.798828125,0.9789843749999999,0.807964945224319,0.8065028047693874,0.19169410988328167,0.998196914652669,0.998196914652669,0.001803085347330965,0.011679687499999999,0.70078125,0.06340292309940679,0.5953903526337161,2560,0.5953903526337161,0.7980733190550686,0.7571245069526309,0.7980733190550686,0.5953903526337161,0.5953903526337161,3549.4,6.4,3555.8,2867.0,680.6,1.8,0.19118890719750053,1.382759688260686,143.34999999999835,20.43067696780983,-47.22894028055286,-19.851661085841638,-34.120000000000104,-4.421400175243616,0.0,0.01294921875,0.77349609375,0.22422362864017487,heuristic_eval,,reward,58.158676407346505,1.1169132885116884,0,,20,42,,,,,,
maddpg,MADDPG,5,False,46.26350657142084,4.706143894349143,2.980088121219692,2.222117452426704,4.452158862186003,4023.2429406584365,1.0,0.0,0.4180011609519806,10240.0,228.8,0.022343750000000002,26.760001039505006,255.56000077724457,27.0,27.0,27.0,0.0,0.0,0.0,17.6,17.6,0.0,0.9750429686740972,16.07109375,0.9776562500000001,0.7728301433244995,0.7714361915283435,0.22676212224837095,0.9981983137767145,0.9981983137767145,0.0018016862232854984,0.00263671875,0.158203125,0.08885548726800534,0.4755552699801591,2560,0.4755552699801591,0.712866408581849,0.6064918396997916,0.712866408581849,0.4755552699801591,0.4755552699801591,3549.4,6.4,3555.8,2742.8,802.2,4.4,0.22552920842871224,1.4668378812375806,137.13999999999695,18.249380059695405,-44.90027530803383,-20.0621986722511,-40.32999999999985,-3.833400150388479,0.0,0.00435546875,0.0,1.0,maddpg_train_eval,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u20/learned_baselines/maddpg/training_history.json,reward,46.26350657142084,1.1334994479794998,0,,20,42,150000,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u20/learned_baselines/maddpg/maddpg_model.pt,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_single_seed_150k_20260804/u20/learned_baselines/maddpg/maddpg_training.log,46.26350657142084,,
random,Random,5,False,33.407950943441755,4.01527269818371,2.904392487307333,2.1350219279489386,4.598337937838939,4029.3864003932053,0.9939826492430617,0.006017350756938226,0.0025599322617873405,10240.0,202.8,0.019804687499999998,827.8800121545792,1030.680010509491,1384.6,1384.6,1376.4,8.2,0.0,8.2,3.4,3.4,8.2,0.8993476552236827,15.9890625,0.9801953124999999,0.7686105850243042,0.7675768828256947,0.23107363494986907,0.9986505177755637,0.9986505177755637,0.001349482224436233,0.1344140625,8.06484375,0.10433631154896536,0.4110887981372056,2557,0.4110887981372056,0.6520143690614189,0.4709263389173546,0.6520143690614189,0.4110887981372056,0.4110887981372056,3551.0,4.8,3555.8,2728.8,822.0,0.2,0.231018644573185,1.4766147758696881,136.4399999999968,16.673572698847398,-42.745409648925204,-20.308010727826627,-41.1099999999998,-15.460200685448944,-0.08200000000000002,0.135546875,0.0,1.0,heuristic_eval,,reward,33.407950943441755,1.134718783552015,0,,20,42,,,,,1.0,random(best_offload=1.00)
min_distance,Min-Distance,5,False,26.020196170999405,3.4797336348755965,3.400820141046995,2.2650847444138926,4.613392185452939,4818.59546283505,1.0,0.0,0.09133712660028451,10240.0,199.2,0.019453124999999998,22.440000891685486,221.63999981880187,34.0,34.0,34.0,0.0,0.0,0.0,3.4,3.4,0.0,0.9783554687676951,14.987109375,0.9805468750000002,0.7204580590537722,0.7193620717095419,0.2791165705503248,0.9984786422598667,0.9984786422598667,0.0015213577401333809,0.0033203125,0.19921875,0.13280094948640017,0.30616185950124863,2560,0.30616185950124863,0.5530902581000159,0.2648354070370469,0.5530902581000159,0.30616185950124863,0.30616185950124863,3550.4,5.4,3555.8,2557.8,991.8,0.8,0.2788927035325632,1.883882814463621,127.8899999999951,14.159110607360494,-42.53558005710836,-20.538733742523853,-49.62999999999931,-3.3246001336723565,0.0,0.00365234375,0.0,1.0,heuristic_eval,,reward,26.020196170999405,1.357197910893153,0,,20,42,,,,,1.0,min_distance(best_offload=1.00)
full_local,Full-Local,5,False,-153.59378848189954,3.989589033807859,5.210027497995298,2.2263040300955135,5.343375714258426,7475.852822527018,0.0,0.0,1.0,10240.0,7175.6,0.7007421875000001,0.0,7175.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29925781249999994,10.67578125,0.29925781249999994,0.5124106768865909,0.5124106768865909,0.4875893231134091,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3555.8,0.0,3555.8,1822.0,1733.8,0.0,0.4875893231134091,4.10310253706203,91.09999999999697,0.0,-29.353267072751624,-21.016516330085615,-86.68999999999721,-107.63401204496623,0.0,0.0,1.0,0.0,heuristic_eval,,reward,-153.59378848189954,2.102439063650098,0,,20,42,,,,,,
