method,display_name,is_system,episodes,mean_reward,std_reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,deadline_violation_rate,effective_latency_score,avg_load_balance_score,energy_per_resolved_task,reward_delay,reward_energy,reward_qos,reward_service_continuity,reward_handover,reward_load_balance,reward_enqueue,penalty_deadline,penalty_queue_full,penalty_invalid_action,penalty_blocked,penalty_failed_handover,penalty_handover_cost,selection_metric,selection_score,primary_metric_win_count,primary_metric_wins_text,selected_offload,method_variant,training_history,source
han_mappo_latency_priority,HAN+MAPPO,True,1,37.525688899514755,0.0,2.632047060358412,343.6963634492495,0.755,0.245,0.0,0.16600000000000004,0.755,0.7748538011695907,0.7703488372093024,0.2238372093023256,0.9941860465116279,0.9941860465116279,0.005813953488372093,0.2238372093023256,0.03520821863032941,0.5571284607756538,1.0049601270445891,129.18095965271354,121.85214546202997,75.19999999999999,8.299999999999999,131.98365899919932,-0.2915895278541208,5.156666666666661,-25.155071076761892,0.0,0.0,0.0,-73.49999999999966,-67.95000000000131,effective_latency_score,0.03520821863032941,0,,,,D:\python_code\LEO_switch\results\full_train_latency_priority\training_history.json,checkpoint_eval
maddpg,MADDPG,False,1,98.75209885041801,0.0,1.9553485212855637,672.6398913222339,1.0,0.0,0.0,0.9994,1.0,0.9447674418604651,0.9447674418604651,0.055232558139534885,1.0,1.0,0.0,0.055232558139534885,0.31948874205355166,0.555,1.9553485212855637,258.9128162113625,110.6944043471107,122.40000000000066,49.97,0.17837249791939055,0.05,0.0,-4.3246045522122705,0.0,0.0,0.0,0.0,-0.09,effective_latency_score,0.31948874205355166,5,Average Delay | Service Continuity | Service Availability | Task Success | Deadline Violation,,,D:\python_code\LEO_switch\results\baseline_compare\20260516_153817\learned_baselines\maddpg\training_history.json,maddpg_train_eval
han_pdqn,HAN+PDQN,False,1,89.71976121729745,0.0,2.1614556840490056,269.6630735169571,1.0,0.0,0.0,0.9994,1.0,0.8982558139534884,0.8982558139534884,0.10174418604651163,1.0,1.0,0.0,0.10174418604651163,0.2839568066680516,0.555,0.7839042834795266,168.1890354852966,126.81347705932168,109.60000000000048,49.97,0.17837249791939055,0.05,4.9399999999999915,-6.624593691424586,0.0,0.0,0.0,0.0,-0.09,effective_latency_score,0.2839568066680516,2,Service Continuity | Service Availability,,,D:\python_code\LEO_switch\results\baseline_compare\20260516_153817\learned_baselines\han_pdqn\training_history.json,han_pdqn_train_eval
pdqn,PDQN,False,1,88.28683939278805,0.0,2.2358125903781723,388.7511864336869,0.8181818181818182,0.18181818181818182,0.0,0.9914,0.998,0.8982558139534884,0.8982558139534884,0.10174418604651163,1.0,1.0,0.0,0.10174418604651163,0.2752108748824082,0.5483333333333333,1.130090658237462,162.89609370823825,122.04995254265248,109.60000000000048,49.56999999999999,1.610755158952931,0.11666666666666668,4.9433333333333245,-7.029890994316889,0.0,0.0,0.0,-0.6,-0.8099999999999998,effective_latency_score,0.2752108748824082,0,,,,D:\python_code\LEO_switch\results\baseline_compare\20260516_153817\learned_baselines\pdqn\training_history.json,pdqn_train_eval
han_maddpg,HAN+MADDPG,False,1,89.54464116131624,0.0,2.2604480194273857,20.128878938843794,1.0,0.0,0.0,0.9994,1.0,0.8953488372093024,0.8953488372093024,0.10465116279069768,1.0,1.0,0.0,0.10465116279069768,0.2744443777588969,0.5476666666666666,0.058514182961755215,157.6735102552473,136.79484484244642,108.80000000000047,49.97,0.17837249791939055,0.05,4.903333333333324,-7.092886103738672,0.0,0.0,0.0,0.0,-0.09,effective_latency_score,0.2744443777588969,2,Service Continuity | Service Availability,,,D:\python_code\LEO_switch\results\baseline_compare\20260516_153817\learned_baselines\han_maddpg\training_history.json,han_maddpg_train_eval
random,Random,False,1,58.87885906649775,0.0,2.417964949937381,653.9440128785847,0.7924242424242425,0.20757575757575758,0.0030211480362537764,0.396,0.792,0.827485380116959,0.8226744186046512,0.17151162790697674,0.9941860465116279,0.9941860465116279,0.005813953488372093,0.17151162790697674,0.09531375380938599,0.5072568739902938,1.9121169967210079,204.69771741875218,103.84223948485665,89.6000000000002,19.799999999999997,96.16619943770576,-0.4961084074805861,0.0,-13.951457268856238,0.0,-1.0,0.0,-40.49999999999997,-47.070000000000526,effective_latency_score,0.09531375380938599,0,,0.0,random(best_offload=0.00),,heuristic_eval
