method,display_name,episode,reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,handover_frequency,active_load_balance_score,avg_load_balance_score,mec_activity_score,deadline_violation_rate,resolved_tasks,completed_tasks,deadline_violations,reward_delay,reward_energy,reward_qos,reward_task_success,reward_deadline_slack,reward_service_continuity,reward_handover,reward_load_balance,reward_enqueue,penalty_deadline,penalty_task_failure,penalty_queue_full,penalty_invalid_action,penalty_blocked,penalty_failed_handover,penalty_handover_cost,selected_offload
maddpg,MADDPG,2,-48.61094708615701,2.991128314271036,1292.772225216585,0.7223719676549866,0.2776280323450135,0.0,0.957522222222222,0.9698888888888889,0.7818557356212266,0.7817315329626687,0.218109610802224,0.9998411437648927,0.9998411437648927,0.00015885623510722796,0.02061111111111111,0.1046132783129172,0.1046132783129172,0.15168349854648114,0.218109610802224,6294.0,4921.0,1373.0,-1672.6576550354127,-3.0745345607008967,869.999999999952,1968.4000000001736,442.5654162978551,-3.8229999999999897,15.713554455792664,0.01144593028072134,0.0,-478.8246708578153,-1098.399999999972,-472.8000000000122,0.0,-4.0,-30.900000000000052,-8.07500000000002,
maddpg,MADDPG,3,-56.43299659037074,3.03608863927787,1441.983121398355,0.6951219512195121,0.3048780487804878,0.0,0.9653666666666666,0.9708333333333333,0.7688846030215365,0.7685140562248995,0.23100401606425702,0.9995180722891567,0.9995180722891567,0.00048192771084337347,0.009111111111111111,0.04655003824541109,0.04655003824541109,0.1334175057709217,0.23100401606425702,6222.0,4784.0,1438.0,-1681.114746115837,-3.334954689998198,763.1999999999496,1913.6000000001611,430.0320723300631,-3.116999999999979,6.949529176656265,0.06261630260875964,0.0,-511.1772510663979,-1150.399999999969,-581.1000000000032,0.0,-3.0,-15.000000000000014,-3.429999999999992,
mappo_no_han,MAPPO,1,-52.40844720444443,2.972159217461208,1984.6529048838638,0.7605633802816901,0.23943661971830985,0.0,0.9870222222222222,0.9893888888888889,0.7813089993706733,0.7813089993706733,0.21869100062932662,1.0,1.0,0.0,0.003944444444444445,0.006659291966092034,0.006659291966092034,0.08602693350985646,0.21869100062932662,6356.0,4966.0,1390.0,-1709.7095954502195,-5.785303650686033,874.3999999999456,1986.4000000001777,469.5647928468599,-1.1679999999999988,3.444275279529236,0.0053846147497730035,0.0,-530.5977675897616,-1111.9999999999711,-625.1999999999965,0.0,-4.0,-5.099999999999999,-1.625000000000001,
mappo_no_han,MAPPO,2,-57.56050579944068,3.053307044835371,2081.0328066225597,0.75,0.25,0.0,0.9866111111111111,0.9892777777777778,0.774900714853058,0.774900714853058,0.22509928514694202,1.0,1.0,0.0,0.0044444444444444444,0.023296460032690217,0.023296460032690217,0.09259259030222892,0.22509928514694202,6295.0,4878.0,1417.0,-1712.6800904021877,-5.867126927524655,817.5999999999549,1951.2000000001697,462.285122660322,-1.2049999999999985,3.8206790401082396,0.005107188067584218,0.0,-575.8950039247322,-1133.59999999997,-666.2999999999903,0.0,-4.0,-5.999999999999998,-1.8050000000000013,
mappo_no_han,MAPPO,3,-50.289238954787024,2.9571780006433595,1974.355849606347,0.7432432432432432,0.25675675675675674,0.0,0.9898111111111111,0.9922777777777778,0.7881124497991968,0.7881124497991968,0.21188755020080322,1.0,1.0,0.0,0.004111111111111111,0.016611526846089946,0.016611526846089946,0.09183501408745845,0.21188755020080322,6225.0,4906.0,1319.0,-1685.315241314306,-5.890141618353245,907.199999999949,1962.4000000001722,455.09811551434785,-0.9170000000000007,3.5037395658076136,0.0,0.0,-486.2035126922954,-1055.1999999999744,-657.5999999999916,0.0,-3.0,-5.699999999999998,-1.6500000000000012,
min_distance,Min-Distance,1,-63.111955010981276,3.1035118667179487,1595.7021106365319,0.7142857142857143,0.2857142857142857,0.0,0.9856222222222223,0.9888888888888889,0.7686860739575138,0.7685651353052234,0.23127753303964757,0.999842668344871,0.999842668344871,0.00015733165512901197,0.0054444444444444445,0.058204447041221956,0.058204447041221956,0.14006733723605672,0.23127753303964757,6355.0,4885.0,1470.0,-1758.8966220640118,-3.3476275335434593,777.9999999999376,1954.0000000001703,444.9202448407749,-1.2939999999999987,4.116989585267997,0.0,0.0,-583.759945209279,-1175.9999999999675,-718.1999999999824,0.0,-4.0,-8.399999999999999,-2.100000000000001,1.0
min_distance,Min-Distance,2,-66.88262058894038,3.1708472849908484,1676.2814482618562,0.7407407407407407,0.25925925925925924,0.0,0.9873,0.99,0.7632666031140769,0.7631453534551231,0.23669579030976967,0.9998411437648927,0.9998411437648927,0.00015885623510722796,0.0045,0.051505645339284874,0.051505645339284874,0.14263467714190484,0.23669579030976967,6294.0,4804.0,1490.0,-1760.6526822992575,-3.3771188602213935,729.5999999999526,1921.600000000163,438.9079233439989,-1.1430000000000002,3.5415689789669287,0.0,0.0,-615.7517848820818,-1191.9999999999666,-750.8999999999775,0.0,-4.0,-6.299999999999998,-1.8000000000000014,1.0
min_distance,Min-Distance,3,-62.13095197750601,3.099399940310556,1608.5526630824347,0.6818181818181818,0.3181818181818182,0.0,0.9892888888888889,0.9922222222222222,0.7709236947791165,0.7709236947791165,0.22907630522088354,1.0,1.0,0.0,0.004888888888888889,0.04321507727768598,0.04321507727768598,0.13539562004928787,0.22907630522088354,6225.0,4799.0,1426.0,-1738.0233253733197,-3.4548535289923388,778.7999999999503,1919.6000000001625,429.90622147272336,-0.9640000000000006,3.5506769264617697,0.0,0.0,-544.7890230877097,-1140.7999999999695,-746.3999999999781,0.0,-3.0,-8.399999999999999,-1.8000000000000014,1.0
random,Random,1,-181.81871107733778,3.4001382974312087,904.3794657597585,0.7158764034517955,0.2841235965482045,0.0012048192771084338,0.34443333333333304,0.7036666666666667,0.6096906565656566,0.6077721837633732,0.38908118313404655,0.9968533668974198,0.9968533668974198,0.0031466331025802393,0.5987222222222223,0.08644482447219283,0.08644482447219283,0.14019360008339088,0.38908118313404655,6336.0,3863.0,2473.0,-1777.6063775326897,-1.9729157164679476,-433.20000000006416,1545.2000000000774,319.3076347649674,-59.001000000000026,486.07300619720945,0.7039072036554178,0.0,-822.0532146686061,-1978.3999999999219,-293.7000000000054,-14.5,-1.0,-909.8999999999534,-232.6650000000071,1.0
random,Random,2,-187.76405790796642,3.4897160852342988,1093.4232031340953,0.7083214995739847,0.29167850042601534,0.00047312641937925814,0.3503444444444457,0.7024444444444444,0.6035031847133758,0.6020651310563939,0.39555202541699763,0.9976171564733916,0.9976171564733916,0.0023828435266084196,0.5868333333333333,0.06647337634214877,0.06647337634214877,0.14234006485591333,0.39555202541699763,6280.0,3790.0,2490.0,-1761.9040449537988,-2.2027478280439556,-476.00000000004434,1516.0000000000707,313.85966932187483,-58.46900000000004,473.25975621568483,0.8064158920561538,0.0,-858.2914196853399,-1991.999999999921,-410.4000000000098,-8.5,-3.0,-919.199999999952,-225.83000000000675,1.0
random,Random,3,-182.82494952006007,3.4251926674500863,1056.076920702677,0.7118724947509066,0.28812750524909336,0.0008582053971583866,0.3657333333333337,0.7150000000000001,0.611003861003861,0.6101204819277108,0.388433734939759,0.9985542168674699,0.9985542168674699,0.0014457831325301205,0.5821111111111111,0.07143873659626233,0.07143873659626233,0.13535353280603885,0.388433734939759,6216.0,3798.0,2418.0,-1767.2566263000647,-2.103896499663765,-415.200000000061,1519.2000000000714,314.8087819109616,-57.083999999999946,468.2548292333687,0.7458237439509547,0.0,-838.9244083948441,-1934.3999999999244,-396.9000000000093,-11.0,-2.0,-899.099999999955,-225.00500000000676,1.0
joint_greedy,Joint Greedy,1,-128.02958090207267,4.1755754729498324,3065.800069864702,0.8571428571428571,0.14285714285714285,0.0,0.9349555555555555,0.9370555555555555,0.5723953415171545,0.5722152297042165,0.4274701069855255,0.999685336689742,0.999685336689742,0.00031466331025802394,0.0035,0.0,0.0,0.0,0.4274701069855255,6354.0,3637.0,2717.0,-1991.4107581834714,-5.331378637799588,-718.8000000000145,1454.8000000000568,318.12364440955116,-5.853999999999969,3.4259442795423163,0.0,0.0,-1262.9548789300106,-2173.5999999999462,0.0,0.0,-4.0,-2.6999999999999997,-1.6200000000000012,
joint_greedy,Joint Greedy,2,-134.19866397042713,4.296815785162331,3221.7406317114223,0.8507462686567164,0.14925373134328357,0.0,0.9492666666666666,0.9515,0.5631160572337043,0.5626687847498014,0.43653693407466243,0.9992057188244639,0.9992057188244639,0.0007942811755361397,0.0037222222222222223,0.0,0.0,0.0,0.43653693407466243,6290.0,3542.0,2748.0,-2060.6176213014623,-5.162406212580852,-781.6000000000246,1416.8000000000482,315.59721116467136,-4.565999999999991,3.6373200387181743,0.0,0.0,-1352.9759102328119,-2198.399999999952,0.0,0.0,-4.0,-2.9999999999999996,-1.7100000000000013,
joint_greedy,Joint Greedy,3,-119.899329645278,4.128485761992519,3082.764030563528,0.7647058823529411,0.23529411764705882,0.014492753623188406,0.9606777777777777,0.9629444444444445,0.5902588008358784,0.5898795180722891,0.40947791164658637,0.9993574297188755,0.9993574297188755,0.000642570281124498,0.003777777777777778,0.0,0.0,0.0,0.40947791164658637,6221.0,3672.0,2549.0,-2008.4542395625106,-5.366022112976817,-570.4000000000448,1468.80000000006,327.18295731658515,-3.5389999999999704,3.3072601959764856,0.0,0.0,-1227.0198451954218,-2039.1999999999184,0.0,-0.5,-3.0,-4.499999999999999,-1.5600000000000012,
full_local,Full-Local,1,-133.80421029730738,4.193737594295937,2999.0292154723984,0.819672131147541,0.18032786885245902,0.0,0.9095222222222222,0.9115555555555556,0.5555905511811023,0.5550660792951542,0.44398993077407173,0.999056010069226,0.999056010069226,0.0009439899307740718,0.0033888888888888888,0.0,0.0,0.0,0.44398993077407173,6350.0,3528.0,2822.0,-1944.7593816360086,-5.181665933551967,-846.4000000000041,1411.2000000000469,308.6182189278853,-8.142999999999915,3.2217217147311312,0.0,0.0,-1276.5352019922834,-2257.5999999999653,0.0,0.0,-4.0,-3.2999999999999994,-1.500000000000001,
full_local,Full-Local,2,-135.24304891744256,4.302464435152557,3213.187662138699,0.8615384615384616,0.13846153846153847,0.0,0.9458888888888889,0.9480555555555555,0.5602543720190779,0.5598093725178713,0.4393963463065925,0.9992057188244639,0.9992057188244639,0.0007942811755361397,0.003611111111111111,0.0,0.0,0.0,0.4393963463065925,6290.0,3524.0,2766.0,-2053.4281144267397,-5.147527244496147,-803.200000000023,1409.6000000000465,313.9770689997095,-4.869999999999984,3.596256090464851,0.0,0.0,-1359.4606383728635,-2212.799999999955,0.0,0.0,-4.0,-2.6999999999999997,-1.6800000000000013,
full_local,Full-Local,3,-124.89137964401472,4.135778962776333,2984.903005410332,0.7903225806451613,0.20967741935483872,0.0,0.9298777777777778,0.9319444444444445,0.5734939759036145,0.5734939759036145,0.42650602409638555,1.0,1.0,0.0,0.0034444444444444444,0.0,0.0,0.0,0.42650602409638555,6225.0,3570.0,2655.0,-1941.90255485372,-5.223664139170999,-696.0000000000193,1428.0000000000507,318.1113480500915,-6.310999999999965,3.155113938550541,0.0,0.0,-1228.0157050574874,-2123.999999999935,0.0,0.0,-3.0,-3.899999999999999,-1.470000000000001,
